ruby,card_name,effect
"Aggiba, the Malevolent Sh'nn S'yo","Aggiba, the Malevolent Sh'nn S'yo","This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Fiend-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
Armament of the Lethal Lords,Armament of the Lethal Lords,"This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Warrior-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
"Chimaera, the Master of Beasts","Chimaera, the Master of Beasts","This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Beast-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
Emperor of Lightning,Emperor of Lightning,"This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Thunder-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
Gatebridgeo the Waterfront Warbeast,Gatebridgeo the Waterfront Warbeast,"Cannot be Special Summoned. Requires 3 Dinosaur Tributes to Normal Summon (cannot be Normal Set). If this card attacks your opponent directly and reduces their LP to 0, you win the Match."
"Grizzly, the Red Star Beast","Grizzly, the Red Star Beast","1 EARTH Tuner + 2 or more non-Tuner Beast-Type monstersThis card cannot be Special Summoned except by Synchro Summon. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
King Landia the Goldfang,King Landia the Goldfang,"3 Level 8 monstersMust be Xyz Summoned and cannot be Special Summoned by other ways. If this card attacks your opponent directly and reduces their Life Points to 0, while it has an Xyz Material attached that was originally Beast-Warrior-Type, you win the Match."
King of Destruction - Xexex,King of Destruction - Xexex,"This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Fiend-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
"Lorelei, the Symphonic Arsenal","Lorelei, the Symphonic Arsenal","This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Machine-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
"Masterful Magician, Servant of the Sanctuary","Masterful Magician, Servant of the Sanctuary","Cannot be Special Summoned. Requires 3 Spellcaster Tributes to Normal Summon (cannot be Normal Set). If this card attacks your opponent directly and reduces their LP to 0, you win the Match."
Meteo the Matchless,Meteo the Matchless,"This card cannot be Special Summoned. This card must be Tribute Summoned by offering 3 Beast-Warrior-Type monsters on your side of the field as Tributes. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
Queen Nereia the Silvercrown,Queen Nereia the Silvercrown,"3 Level 6 monstersMust be Xyz Summoned and cannot be Special Summoned by other ways. If this card attacks your opponent directly and reduces their Life Points to 0, while it has an Xyz Material attached that was originally Plant-Type, you win the Match."
Queen of Fate - Eternia,Queen of Fate - Eternia,"This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Fairy-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
"Skuna, the Leonine Rakan","Skuna, the Leonine Rakan","This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Beast-Warrior-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
Stardust Divinity,Stardust Divinity,"1 LIGHT Tuner + 2 or more non-Tuner Fairy-Type monstersThis card cannot be Special Summoned except by Synchro Summon. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
Testament of the Arcane Lords,Testament of the Arcane Lords,"This card cannot be Special Summoned. This card must be Tribute Summoned by Tributing 3 Spellcaster-Type monsters on your side of the field. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
"Tyr, the Vanquishing Warlord","Tyr, the Vanquishing Warlord","This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Fairy-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
Ulevo,Ulevo,"This card cannot be Special Summoned. This card must be Tribute Summoned by offering 3 Winged Beast-Type monsters on your side of the field as Tributes. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
アイアイアン,アイアイアン,１ターンに１度、自分のメインフェイズ時にこのカードの攻撃力を４００ポイントアップできる。この効果を発動するターン、このカードは攻撃できない。
アイアンコール,アイアンコール,①：自分フィールドに機械族モンスターが存在する場合、自分の墓地のレベル４以下の機械族モンスター１体を対象として発動できる。その機械族モンスターを特殊召喚する。この効果で特殊召喚したモンスターの効果は無効化され、エンドフェイズに破壊される。
アイアンドロー,アイアンドロー,このカード名のカードは１ターンに１枚しか発動できない。①：自分フィールドのモンスターが機械族の効果モンスター２体のみの場合に発動できる。自分はデッキから２枚ドローする。このカードの発動後、ターン終了時まで自分は１回しかモンスターを特殊召喚できない。
アイアン・ハート,アイアン・ハート,古代文明の遺跡で見つかった、破壊だけを目的とした機械。
アイうち,Ai打ち,このカード名のカードは１ターンに１枚しか発動できない。①：自分と相手のモンスター同士が戦闘を行うダメージ計算時に発動できる。その自分のモンスターの攻撃力はそのダメージ計算時のみ、その相手モンスターの攻撃力と同じになり、そのダメージステップ終了時にその戦闘で破壊されたモンスターのコントローラーはその元々の攻撃力分のダメージを受ける。②：自分の「＠イグニスター」モンスターが戦闘で破壊される場合、代わりに墓地のこのカードを除外できる。
